movieId,title,genres,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,poster_path,cluster_kmeans
179,Mad Love (1995),Drama|Romance,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,data/posters/Mad_Love_1995.jpg,5
113,Before and After (1996),Drama|Mystery,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data/posters/Before_and_After_1996.jpg,5
27,Now and Then (1995),Children|Drama,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/Now_and_Then_1995.jpg,6
501,Naked (1993),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/Naked_1993.jpg,6
368,Maverick (1994),Adventure|Comedy|Western,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,data/posters/Maverick_1994.jpg,11
57,Home for the Holidays (1995),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/Home_for_the_Holidays_1995.jpg,11
220,Castle Freak (1995),Horror,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,data/posters/Castle_Freak_1995.jpg,1
263,Ladybird Ladybird (1994),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/Ladybird_Ladybird_1994.jpg,11
434,Cliffhanger (1993),Action|Adventure|Thriller,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,data/posters/Cliffhanger_1993.jpg,11
256,Junior (1994),Comedy|Sci-Fi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,data/posters/Junior_1994.jpg,5
337,What's Eating Gilbert Grape (1993),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/Whats_Eating_Gilbert_Grape_1993.jpg,0
497,Much Ado About Nothing (1993),Comedy|Romance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data/posters/Much_Ado_About_Nothing_1993.jpg,6
95,Broken Arrow (1996),Action|Adventure|Thriller,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,data/posters/Broken_Arrow_1996.jpg,8
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,data/posters/Jurassic_Park_1993.jpg,2
429,Cabin Boy (1994),Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/posters/Cabin_Boy_1994.jpg,5
382,Wolf (1994),Drama|Horror|Romance|Thriller,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,data/posters/Wolf_1994.jpg,8
38,It Takes Two (1995),Children|Comedy,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/posters/It_Takes_Two_1995.jpg,1
210,Wild Bill (1995),Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,data/posters/Wild_Bill_1995.jpg,4
259,Kiss of Death (1995),Crime|Drama|Thriller,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,data/posters/Kiss_of_Death_1995.jpg,5
489,Made in America (1993),Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/posters/Made_in_America_1993.jpg,6
484,Lassie (1994),Adventure|Children,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/posters/Lassie_1994.jpg,8
354,Cobb (1994),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/Cobb_1994.jpg,11
299,Priest (1994),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/Priest_1994.jpg,8
436,Color of Night (1994),Drama|Thriller,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,data/posters/Color_of_Night_1994.jpg,1
49,When Night Is Falling (1995),Drama|Romance,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,data/posters/When_Night_Is_Falling_1995.jpg,10
202,Total Eclipse (1995),Drama|Romance,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,data/posters/Total_Eclipse_1995.jpg,5
427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,data/posters/Boxing_Helena_1993.jpg,8
320,Suture (1993),Film-Noir|Thriller,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,data/posters/Suture_1993.jpg,10
216,Billy Madison (1995),Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/posters/Billy_Madison_1995.jpg,10
339,While You Were Sleeping (1995),Comedy|Romance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data/posters/While_You_Were_Sleeping_1995.jpg,2
16,Casino (1995),Crime|Drama,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/Casino_1995.jpg,11
171,Jeffrey (1995),Comedy|Drama,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/Jeffrey_1995.jpg,4
445,Fatal Instinct (1993),Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/posters/Fatal_Instinct_1993.jpg,5
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,data/posters/Pocahontas_1995.jpg,1
493,Menace II Society (1993),Action|Crime|Drama,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/Menace_II_Society_1993.jpg,1
151,Rob Roy (1995),Action|Drama|Romance|War,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,data/posters/Rob_Roy_1995.jpg,0
485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,data/posters/Last_Action_Hero_1993.jpg,1
215,Before Sunrise (1995),Drama|Romance,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,data/posters/Before_Sunrise_1995.jpg,3
170,Hackers (1995),Action|Adventure|Crime|Thriller,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,data/posters/Hackers_1995.jpg,0
379,Timecop (1994),Action|Sci-Fi|Thriller,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,data/posters/Timecop_1994.jpg,4
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,data/posters/Clear_and_Present_Danger_1994.jpg,0
391,Jason's Lyric (1994),Crime|Drama,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/Jasons_Lyric_1994.jpg,8
218,Boys on the Side (1995),Comedy|Drama,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/Boys_on_the_Side_1995.jpg,3
195,Something to Talk About (1995),Comedy|Drama|Romance,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,data/posters/Something_to_Talk_About_1995.jpg,4
189,Reckless (1995),Comedy|Fantasy,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,data/posters/Reckless_1995.jpg,11
237,Forget Paris (1995),Comedy|Romance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data/posters/Forget_Paris_1995.jpg,5
289,Only You (1994),Comedy|Romance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data/posters/Only_You_1994.jpg,10
276,Milk Money (1994),Comedy|Romance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data/posters/Milk_Money_1994.jpg,10
174,Jury Duty (1995),Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/posters/Jury_Duty_1995.jpg,11
137,Man of the Year (1995),Documentary,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data/posters/Man_of_the_Year_1995.jpg,3
163,Desperado (1995),Action|Romance|Western,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,data/posters/Desperado_1995.jpg,5
161,Crimson Tide (1995),Drama|Thriller|War,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,data/posters/Crimson_Tide_1995.jpg,11
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,data/posters/From_Dusk_Till_Dawn_1996.jpg,6
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,data/posters/Vampire_in_Brooklyn_1995.jpg,11
132,Jade (1995),Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,data/posters/Jade_1995.jpg,8
448,Fearless (1993),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/Fearless_1993.jpg,11
424,Blue Chips (1994),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/Blue_Chips_1994.jpg,11
206,Unzipped (1995),Documentary,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data/posters/Unzipped_1995.jpg,11
196,Species (1995),Horror|Sci-Fi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,data/posters/Species_1995.jpg,11
347,Bitter Moon (1992),Drama|Film-Noir|Romance,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,data/posters/Bitter_Moon_1992.jpg,1
440,Dave (1993),Comedy|Romance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data/posters/Dave_1993.jpg,4
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,data/posters/Outbreak_1995.jpg,3
319,Shallow Grave (1994),Comedy|Drama|Thriller,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,data/posters/Shallow_Grave_1994.jpg,5
311,Relative Fear (1994),Horror|Thriller,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,data/posters/Relative_Fear_1994.jpg,2
94,Beautiful Girls (1996),Comedy|Drama|Romance,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,data/posters/Beautiful_Girls_1996.jpg,0
282,Nell (1994),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/Nell_1994.jpg,5
228,Destiny Turns on the Radio (1995),Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/posters/Destiny_Turns_on_the_Radio_1995.jpg,6
34,Babe (1995),Children|Drama,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data/posters/Babe_1995.jpg,5
